Date,,A,B,C
2015/3/10,B,0.9985881666260049,0.9999999999999994,0.9980968749472587
2015/3/10,C,0.997635730642875,0.9980968749472587,1.0000000000000002
2015/3/11,A,0.9999999999999999,0.9987717851528909,0.9975011260603707
2015/3/11,B,0.9987717851528909,0.9999999999999996,0.9979044616852711
2015/3/11,C,0.9975011260603707,0.9979044616852711,1.0000000000000002
2015/3/12,A,1.0,0.999159807170127,0.9983056634202802
2015/3/12,B,0.999159807170127,0.9999999999999994,0.9984179216348441
2015/3/12,C,0.9983056634202802,0.9984179216348441,0.9999999999999998
2015/3/13,A,0.9999999999999998,0.999206574619102,0.9983444265046761
2015/3/13,B,0.999206574619102,0.9999999999999997,0.9984118960515582
2015/3/13,C,0.9983444265046761,0.9984118960515582,1.0
2015/3/16,A,1.0,0.9990575088245737,0.9980340341968031
