Date,A,B,C
2017/7/6,-0.0022857339562593,-0.0041080500470874,-0.0040346648975513
2017/7/7,0.005184687288447,0.008104305537092498,0.0021978507002272003
2017/8/1,0.018081110604162398,0.0241197933197222,0.017505200770155098
2017/8/10,-0.0030930744896649,-0.0038568200972442,-0.0037351696033984
2017/8/11,-0.017925113442540698,-0.0224690265626942,-0.015855000152297898
2017/8/14,-0.0051843833145641,-0.007853267377059601,-0.0034055697353371998
2017/8/15,-0.0109983392649036,-0.0139966843709085,-0.0107718106318405
2017/8/16,-0.010302728874576901,-0.008772734975594599,-0.0032408218549539
2017/8/17,-0.0128172981847476,-0.0217519318779642,-0.0133389396044204
2017/8/18,0.0092510167315475,0.0113925200771649,0.0042344288540273
2017/8/2,0.0014595610817431,0.0012752371877266001,0.0005312749113276002
2017/8/21,0.0040737561554548,0.004154736861880199,0.0047268444252855
2017/8/22,-0.0033202835634714004,0.0007156732197867999,0.0004270580098962996
2017/8/23,-0.0056471361719306005,-0.0065539046183605,-0.0042311325747583
2017/8/24,0.0029356996888976997,0.0082975234521108,0.0097517556701657
2017/8/25,0.016154573660826902,0.012823332726694801,0.006993126423418599
2017/8/28,-0.0219601380695643,-0.024770092292733602,-0.0250133502285413
2017/8/29,0.0089019282194506,0.0117963775784922,0.012531738400774501
2017/8/3,-0.0301296040163333,-0.0369897692766201,-0.0300875041774545
2017/8/30,-0.0022414028404881,0.0017114306996846,-0.0021236869702893
2017/8/31,-0.0194527225122689,-0.028288971884128,-0.025121509708288
2017/8/4,0.0033298891254502994,0.0031803809983442996,0.006951888477654901
2017/8/7,0.005333076100575,0.0026185413513984002,0.0040876388555792995
2017/8/8,0.0011790753433052002,0.0014988284107185987,0.0030760536236975004
2017/8/9,0.003984408607375799,0.006312195575068099,0.004702595662654999
2017/9/1,-0.018794640548833102,-0.0227971873569009,-0.0177721780463042
2017/9/11,0.0187013350352464,0.0285909349064089,0.0250648263282934
2017/9/12,0.0227019720963095,0.0300467060068018,0.0229414305127209
2017/9/13,0.0088640723525288,0.012919922532735299,0.0087745482857104
2017/9/14,-0.0038426697222388997,-0.0034558755529997,-0.0025993979612625997
2017/9/15,0.0163509710291281,0.0154823929509324,0.0165775998174212
2017/9/18,0.0114915771329228,0.0117260729321822,0.012709623051692999
2017/9/19,0.012421744060649898,0.0158743358699277,0.009941006986000398
2017/9/20,-0.006722130492495,-0.006643836700646,0.0037875980135320007
2017/9/21,-0.0328909900772767,-0.0362533232244649,-0.0296707357409024
2017/9/22,0.028385537046849,0.0319753490567643,0.022656803070551
2017/9/25,-0.0170648143073601,-0.0240067524457283,-0.0159617751097324
2017/9/26,0.0016139749464481002,0.0037813949429549003,0.0021171954965835994
2017/9/27,0.0309133626724227,0.0338359644204736,0.033949590171526295
2017/9/28,0.004426339627792399,0.0074552353104845,0.008422226999291
2017/9/29,0.0104596884050352,0.015278283295032702,0.011295437079324499
2017/9/5,-0.0048229288503082,-0.0055365175619171,-0.0066136860414282
2017/9/6,0.0095034286246003,0.0099627881210571,0.0032304678973701
2017/9/7,0.011734552585932,0.0179438463493169,0.014707767345847701
2017/9/8,-0.0045633104980013,-0.0064673561406871,-0.0073378493221771994
2018/1/10,-0.0086161497727371,0.0009504431931746989,0.0012921940835825011
