Date,FTI
2019/10/7,0.756
2019/10/8,0.688
2019/10/9,0.692
2019/10/10,0.656
2019/10/11,0.572
2019/10/14,0.564
2019/10/15,0.564
2019/10/16,0.604
2019/10/17,0.564
2019/10/18,0.544
2019/10/21,0.528
2019/10/22,0.524
2019/10/23,0.536
2019/10/24,0.54
2019/10/25,0.524
2019/10/28,0.524
2019/10/29,0.468
2019/10/30,0.428
2019/10/31,0.404
2019/11/1,0.388
2019/11/4,0.384
2019/11/5,0.392
2019/11/6,0.4
2019/11/7,0.344
2019/11/8,0.368
2019/11/11,0.328
2019/11/12,0.3
2019/11/13,0.188
2019/11/14,0.108
2019/11/15,0.1
2019/11/18,0.12
2019/11/19,0.3
2019/11/20,0.336
2019/11/21,0.316
2019/11/22,0.36
2019/11/25,0.372
2019/11/26,0.348
2019/11/27,0.408
2019/11/29,0.432
2019/12/2,0.428
2019/12/3,0.392
2019/12/4,0.38
2019/12/5,0.204
2019/12/6,0.208
2019/12/9,0.264
2019/12/10,0.276
2019/12/11,0.228
2019/12/12,0.112
2019/12/13,0.072
2019/12/16,0.056
2019/12/17,0.052
2019/12/18,0.052
