Date,,A,B,C
2017/5/12,B,0.00018945081351613705,0.00024264716933541987,0.00017738664875625713
2017/5/12,C,0.00013706111620312756,0.00017738664875625713,0.00014152994954561804
2017/5/15,A,0.00015639542377720642,0.00019600471669721422,0.0001402047994063536
2017/5/15,B,0.00019600471669721422,0.0002502810107759761,0.00018101932064233932
2017/5/15,C,0.0001402047994063536,0.00018101932064233932,0.00014325729026695792
2017/5/16,A,0.00015492285461533238,0.0001944154031046363,0.00013827784826908924
2017/5/16,B,0.0001944154031046363,0.00024857478917102047,0.0001788463111741212
2017/5/16,C,0.00013827784826908924,0.0001788463111741212,0.00014169300045248763
2017/5/17,A,0.00015004625592919624,0.00018866942001230573,0.00013648477193519418
2017/5/17,B,0.00018866942001230573,0.0002423115084026711,0.00017719095732922105
2017/5/17,C,0.00013648477193519418,0.00017719095732922105,0.00014144626884022725
2017/5/18,A,0.00015256033790258194,0.0001904140839166194,0.00013711780011267544
2017/5/18,B,0.0001904140839166194,0.00024153490169926867,0.00017495109472257626
2017/5/18,C,0.00013711780011267544,0.00017495109472257626,0.00013799383567632352
2017/5/19,A,0.00013325658361286469,0.00016699807000474927,0.00012040493528826324
2017/5/19,B,0.00016699807000474927,0.00021478978301968493,0.0001553901195470478
2017/5/19,C,0.00012040493528826324,0.0001553901195470478,0.00012382984138270697
2017/5/22,A,0.00012425371290535143,0.0001559338015795173,0.00010799323539832064
2017/5/22,B,0.0001559338015795173,0.00020123107193310217,0.00014044000341072562
2017/5/22,C,0.00010799323539832064,0.00014044000341072562,0.00010908321826919228
2017/5/23,A,0.00012899034095999008,0.00016078390572843402,0.00011120866879987778
2017/5/23,B,0.00016078390572843402,0.0002057695423392941,0.00014316812739749728
2017/5/23,C,0.00011120866879987778,0.00014316812739749728,0.00011052158210839737
2017/5/24,A,0.00012671413708946025,0.00015714513430074517,0.0001134375255414328
2017/5/24,B,0.00015714513430074517,0.0002004784613631513,0.00014528159792094424
2017/5/24,C,0.0001134375255414328,0.00014528159792094424,0.00011233477543763819
2017/5/25,A,0.0001186933108792254,0.00014845268196583648,0.00010754962028809161
2017/5/25,B,0.00014845268196583648,0.0001911566892570676,0.00013874306383694073
2017/5/25,C,0.00010754962028809161,0.00013874306383694073,0.00010826465417873025
2017/5/26,A,0.0001270963642250099,0.00015816863509665916,0.00011436838726243052
2017/5/26,B,0.00015816863509665916,0.00020235745308264794,0.00014663336272858417
2017/5/26,C,0.00011436838726243052,0.00014663336272858417,0.00011379668817424154
