Day,A,B,C
87,0.004048666165141315,0.009589608348594153,0.010853276580895424
88,-0.0072195130579413075,-0.011738423603212155,-0.009530021077586073
89,0.019662431879537964,0.027852043080944335,0.028478313617532423
90,0.0012247255103040502,-8.672606974586628e-06,0.0029729214003416018
91,0.02178739826775001,0.023417434627535573,0.012393184359490782
92,0.008959048561714816,0.012719436644471498,0.01256322605176767
93,0.01867817054882002,0.02041780048191964,0.011918008202120176
94,0.01083227330681397,0.014796352908214473,0.009435346704189123
95,0.01526207750052793,0.017262049791600162,0.013016677596223446
96,0.006457371244163781,0.009268081144467463,0.007117013330131612
97,0.02891422878766593,0.03163540138441932,0.0265655327073426
98,0.007929880422584261,0.012144819385523692,0.006481303863293173
99,0.011409363254922708,0.015234341019064903,0.00854866519645675
100,0.030144736840462778,0.03326549337621174,0.028511675112990825
101,-0.010723398161024307,-0.004510381205403242,-0.0036502059906016117
102,-0.009745949992825211,-0.009987121011261434,-0.007438280812564859
103,0.01858656153653214,0.0295469666923286,0.016700537497315565
104,-0.008514412426115912,-0.005156803737823512,-0.004685600580297541
105,0.030909634741171706,0.03649441368246054,0.026378797949113037
106,0.0010926430696241033,7.453924044557598e-06,-0.0029053130735174413
107,-0.0031300832884811483,-0.005031949908698754,-0.0011101460914279132
108,0.03064806176888809,0.03099061572017752,0.02132767592587301
109,0.02505175072234447,0.02786167701373369,0.01883329908792831
110,0.029947515238753657,0.03671736097142482,0.02832714134072366
111,0.017785214448253334,0.02616775884305506,0.022358145384223486
112,-0.004569183656510018,-0.007926739649760244,-0.009136891750950355
113,0.03048517824295931,0.03937152177072091,0.035399923530354066
114,0.0029345510290992812,-0.00043958670619247044,0.004233151075146214
115,0.01647491505508146,0.017915791348663224,0.011545252712016405
116,0.0183064502653026,0.020520553690655172,0.015641426391948602
117,0.0043638155024096955,0.006412348479714202,0.0026674907320651388
118,0.014092113217999457,0.018356675941204062,0.009355694573881409
119,0.01798964954254902,0.024630771252132685,0.02066282207734781
120,0.01108600351189861,0.01574080471379896,0.014912474434455071
121,-0.007581886918206653,-0.008329298886617672,-0.0003013656947178948
122,0.010097002983141624,0.013350845919940157,0.007842818710595955
123,0.02310215727975996,0.032745963852661514,0.03042231745853903
124,-0.0024611103848610873,-0.004569022910739231,0.0005896767613182028
125,0.004431811464065728,0.00776807981296476,0.006840130951206396
126,0.0008202498989277208,-0.004733553266421293,-0.0018826344622816132
127,0.029716096825656384,0.03696006927796504,0.03232958727424049
128,0.014828486084931772,0.01626601406944985,0.019255463420824792
129,0.011478585168802558,0.01378243299532645,0.012536909739660387
130,-0.0034141982893550775,-0.0008079964498443528,-0.0008365698517335499
131,0.013145578003880673,0.01629534304540715,0.010297208193289517
132,-0.002205153112938142,0.00015302505109859692,0.0010879290436406428
133,0.006727183573703433,0.012733073839698478,0.013425152958994912
134,-0.0017183320755160712,-0.0008315753251689664,0.00010826562094273123
135,0.014880834909150376,0.021560158888769616,0.014781793244294216
136,0.013617916354095441,0.015308823140516825,0.012528742197620978
137,0.0036897613147160915,0.004401751650365497,0.0031129821479758315
138,0.011333688043243317,0.011947757946644835,0.010395383816747471
139,-0.007501700640656931,-0.005703856021181931,-0.009818310783187114
140,-0.01253852696354089,-0.013736760518878701,-0.009247661885250792
141,0.011882469564225652,0.012654947269752938,0.012006851162783208
142,0.008432826804171664,0.010608497962370091,0.009893548459522365
143,0.014357138225890895,0.020522294318567648,0.01640593638225711
144,0.036469217250333745,0.04363888440958148,0.02920023562874641
145,0.01827138084912507,0.018924867990199087,0.015078790358776463
146,-0.005221834004572229,-0.005849059207046554,-0.0013249720194119827
147,0.02045381793589565,0.01828148319993929,0.01190522022958605
148,-0.010320503108105658,-0.00995353749514908,-0.01425345238901617
149,0.0004859205840039432,-0.0007492501162047473,-0.0054710721516047995
150,0.005461359704288323,0.005069540788133394,0.005048669060469929
151,0.02799681697187229,0.03636537324835716,0.03027143607149254
152,-0.0030959308239290736,-0.008032141057855227,-0.0036230076765734476
153,-0.004129157192877652,0.0012022779088818065,0.0007870780393862253
154,0.005079218446025853,0.004576403455168589,-0.0010833321421388673
155,-0.002067854931542005,-0.004136090686778489,-0.0058972099079774905
156,0.020575497750819197,0.027919993492311744,0.024925392249086607
157,-0.0073356178133016205,-0.006561650145937915,-0.004805033047309394
158,-0.008189902620715818,-0.0020764141642870566,0.00039381040523423015
159,0.000786521133659783,0.0002759333966598955,0.0015956696437286577
160,2.488774888401591e-05,-0.00035089392492361005,-0.0009288573138913883
161,0.030731419753793822,0.032199695828784694,0.02520949872805955
162,0.018333884151698236,0.02095046136948665,0.02263304211588627
163,0.007432000659346353,0.006637034721882728,0.0066209429470512286
164,-0.00917611414035719,-0.012430462868592639,-0.010350999832615317
165,0.017004996029728332,0.014890389257984221,0.013352475869720935
166,-0.006327279273293543,-0.0023414329389911054,-0.0011682562574735224
167,-0.013215425197317828,-0.020338203782572725,-0.023092722890981587
168,0.02135207560821741,0.01676114742124546,0.015464665674017348
169,0.010333597485318232,0.008642188983211367,0.0126720667735461
170,0.017972600466780817,0.019657612232003647,0.013258628189113896
171,0.010356176666655224,0.008792202866592495,0.011631827058914294
172,0.017162700530609892,0.024068381387674125,0.018442411804692367
173,-0.0019103394392269183,-0.002728293082242689,-0.0012545964211077272
174,-0.006757696814719531,-0.00802895984795902,-0.003038392308355501
175,0.014946119794157626,0.019865571993202918,0.013615613153102151
176,-0.0038378624115845113,-0.003700983869310205,0.000968323647952885
177,-0.002397636110677362,0.00021733817087213293,-0.003665821646735316
178,0.0005624742829228868,-0.0028335069428143825,-0.005034287865932251
179,0.006545651136750629,0.006123377105784366,0.0030218256442233644
180,0.0018468471707666781,0.004322189633341805,0.005551196487915876
181,-0.01106735571564492,-0.021295791812702948,-0.01811457298362926
182,-0.0018166450674700517,-0.006528689238519257,-0.010029532668390302
183,-0.021799517150972277,-0.024575144037426198,-0.020344852293283776
184,0.014233177120408499,0.015561131749808324,0.009968979641231815
185,-0.013940049218171022,-0.013767827068578379,-0.00870170817465556
186,-0.007644911729810209,-0.006615041299985075,-0.006377437584878111
187,0.006984397179488328,0.004592574265551081,0.0038978666915805565
188,-0.0030302588467649915,-0.0023503479930723327,-0.003162494887487392
189,0.025842317657810643,0.03481088347262237,0.02922094228320906
190,-0.010028934773314395,-0.011568493213296113,-0.009835359540573081
191,0.009702511313422622,0.008551998231193306,0.007869967215525022
192,0.0058276626062997005,0.00977407029544906,-0.00038175848605959996
193,-0.00845078857124297,-0.008131557500446794,-0.006197711724658799
194,0.01294353969508507,0.017248133592926786,0.015107416826569324
195,0.004154646796704917,0.007249573724807369,0.005169480114072353
196,0.016087019394064837,0.009834625924127071,0.009984505597471193
197,0.016741150476878238,0.022875149741663457,0.0206358003007581
198,0.03368756618467061,0.04614289425283842,0.04103860185654768
199,0.023230445227110184,0.02925730636642243,0.023737288499871247
200,0.0016547334056755897,0.0025951426869084636,-0.003975855064865613
201,0.0032966216181054327,0.006158278400269571,-0.002300761129018983
202,0.02023427121579118,0.025350688318483725,0.015215084796898887
203,0.014613058749067397,0.019596783822073093,0.015557554404913247
204,0.014421649818528389,0.01731063149344823,0.013351062195802605
205,-0.014128500585256776,-0.019378734335752816,-0.014629440355711272
206,0.006016851481355835,0.004044274501191013,0.0012582183879388908
207,-0.0030108793064428695,-0.006769614570483933,-0.007744681234951012
208,0.009865352544680852,0.007496481268284402,0.007752400723234463
209,0.005083040182317767,0.0027231515105123403,0.00425273632125223
210,0.017837509031607367,0.026974623366279947,0.020768099703114846
211,0.01033708362152852,0.014789160216644207,0.01170965429652839
212,0.01627090471290853,0.017548575500934766,0.01531741461634273
213,0.000424768560800811,-0.0007248078219223496,0.00101502816324951
214,-0.005621849864943047,-0.006390281672462464,-0.008729809947974862
215,0.0011377913828434913,-0.0007076657425606177,-0.0028416249234590497
216,0.006109262222253343,0.007544621715831158,0.002144369102711981
217,0.011120487572976376,0.015803585281316524,0.011039888761163134
218,0.03490280420908934,0.04177033660309447,0.035985093644655644
219,0.005790039933621568,0.008010622996830787,0.008135961718679372
220,-0.005767298757295077,-0.004117426117908902,-0.0067664315430581035
221,0.001948193559858532,0.0014772760991514666,0.0028017505056105534
222,0.0004604785444674384,0.001453161202829491,0.0014339886965675096
223,0.012414867753531827,0.013919503453706471,0.009573669371386841
224,-0.013165156590192732,-0.015888404115978503,-0.017158339240045138
225,0.007124763284326401,0.007522828678339281,0.0054654229001292465
226,0.008304223835049565,0.008292635279022452,0.008784279963923839
227,0.00926143893590027,0.011663051835087642,0.00249012609778429
228,-0.0012309617234582872,0.0003144195275350276,-0.0010011159168958478
229,0.003315057037085584,0.004440723725675114,0.010681249960952769
230,-0.011688548676441382,-0.01244914529293611,-0.007832252165812039
231,8.449753444421133e-05,-0.002232148142052069,-0.0009640560193063513
232,-0.0005421595523580373,-0.004457136369881498,-0.005896893289046739
233,0.011587218387554866,0.015223469417818658,0.010033708241720434
234,-0.00830012418058158,-0.007784877060540424,-0.006491282681505599
235,0.01620601654115059,0.019604882369746383,0.020752605743272833
236,0.02522845567438465,0.03453701024280631,0.02910193049142796
237,-0.019858914285596753,-0.02096030151167728,-0.019526248226740744
238,0.011716349167502024,0.022536328287265008,0.021750389751735905
239,0.014886839948995239,0.017229195661014184,0.012858092404020638
240,-0.0017384561423352185,-0.0052447846045807255,0.0011716531748112427
241,0.0012994201864706904,-0.0007812138150594542,-0.002416727139043209
242,0.004643734192442755,0.0037842199509585065,-0.00014522892950228315
243,0.0025577655390008327,0.004574662056186397,0.004211956857673606
244,0.002415816085456689,-0.003925432706378311,-3.39554892503811e-05
245,-0.014875402260121066,-0.013680858283844351,-0.0076639981227153995
246,0.02090052477801889,0.024323907469298786,0.01996253454285855
247,0.019980770340738675,0.023196494654417567,0.015432559641084549
248,-0.003963779185506657,-0.00816971780418424,-0.008133801918978435
249,-0.01222440824821253,-0.015030502807426354,-0.01840676991016052
250,0.012915562593556579,0.015540542933788756,0.009544890507758523
251,-0.0009586504153974978,-0.0015360042187982045,-0.0017931333740929824
252,0.008120136588974898,0.010816363417309939,0.009883223512994126
253,0.0022853348411573035,0.000877821575407558,-0.00037119155708964025
254,0.01507190549493673,0.015253468427150169,0.012022591149066524
255,0.01511251410595476,0.019868982724661366,0.014642337798512876
256,-0.0028536062004317743,-0.003112313555530743,-0.00011490030276412261
